seg,word,cate,v,a
72,gold,4,7.28,6.35
72,power,4,6.54,6.67
72,me,4,8.06,5.97
73,head,4,6.63,5.7
73,special,4,7.5,3.48
73,friend,4,6.79,4.29
74,love,4,8,5.36
74,funny,4,8.56,7
74,family,4,7.65,4.8
74,happy,4,8.47,6.05
74,party,4,7.86,6.69
74,beautiful,4,7.61,5.71
74,friend,4,6.79,4.29
74,me,4,8.06,5.97
75,power,4,6.54,6.67
75,color,4,7.02,4.73
76,beautiful,4,7.61,5.71
76,dance,4,7.27,5.48
76,dance,4,7.27,5.48
76,beautiful,4,7.61,5.71
80,food,4,7.52,4.69
